genome,resource,version
hg19,sranseq,20150810
hg19,GA4GH-problem-regions,20151116
hg19,MIG,20150730
hg19,giab-NA12878,v3_3
hg19,platinum-genome-NA12878,v8_0_1
hg19,srnaseq,20160224
hg19,prioritize,20160215
hg19,dbsnp,147-20160408
hg19,hapmap,3.3
hg19,1000g_omni_snps,2.5
hg19,1000g_snps,2.8
hg19,mills_indels,2.8
hg19,cosmic,68
hg19,ancestral,20141010
hg19,qsignature,20140703
hg19,transcripts,2014-07-17
hg19,RADAR-hg19,3
hg19,ACMG56_genes,20160629
hg19,giab-NA24385,v3_3
hg19,clinvar,20160502
hg19,GA4GH_problem_regions,20l60916
hg19,giab-NA24631,v3_3
