5978020	ct4	aligned
6654707	ct5	aligned
6973190	ct6	aligned
6092141	ct7	aligned
3288073	ct1	aligned
6059636	ct2	aligned
4644236	ct3	aligned
7153084	cc5	aligned
7803183	cc4	aligned
8147223	cc7	aligned
4846501	cc6	aligned
8109320	cc1	aligned
5406229	cc3	aligned
7003443	cc2	aligned
14674348	pt7	aligned
16577594	pt6	aligned
10099825	pt5	aligned
13377068	pt4	aligned
16533074	pt3	aligned
13053118	pt2	aligned
11404688	pt1	aligned
14129608	pc2	aligned
14776478	pc3	aligned
15282323	pc1	aligned
15208738	pc6	aligned
14689676	pc7	aligned
14708166	pc4	aligned
14536651	pc5	aligned
14146767	pc5	cleaned
14540678	pc1	cleaned
14583330	pc6	cleaned
14309707	pc4	cleaned
14170843	pt7	cleaned
16003220	pt6	cleaned
9735015	pt5	cleaned
13065896	pt4	cleaned
16204138	pt3	cleaned
12501235	pt2	cleaned
10950470	pt1	cleaned
5897562	ct4	cleaned
6535282	ct5	cleaned
6860005	ct6	cleaned
5920131	ct7	cleaned
3222758	ct1	cleaned
5977597	ct2	cleaned
4566965	ct3	cleaned
7026976	cc5	cleaned
7690237	cc4	cleaned
7913844	cc7	cleaned
4752770	cc6	cleaned
8007058	cc1	cleaned
14251914	pc7	cleaned
5335080	cc3	cleaned
6909100	cc2	cleaned
13427936	pc2	cleaned
14241257	pc3	cleaned
14146767	pc5	clusters
14540678	pc1	clusters
14583330	pc6	clusters
14309707	pc4	clusters
14170843	pt7	clusters
16003220	pt6	clusters
9735015	pt5	clusters
13065896	pt4	clusters
16204138	pt3	clusters
12501235	pt2	clusters
10950470	pt1	clusters
5897562	ct4	clusters
6535282	ct5	clusters
6860005	ct6	clusters
5920131	ct7	clusters
3222758	ct1	clusters
5977597	ct2	clusters
4566965	ct3	clusters
7026976	cc5	clusters
7690237	cc4	clusters
7913844	cc7	clusters
4752770	cc6	clusters
8007058	cc1	clusters
14251914	pc7	clusters
5335080	cc3	clusters
6909100	cc2	clusters
13427936	pc2	clusters
14241257	pc3	clusters
4716884	cc6	meta-cluster
7962211	cc1	meta-cluster
5308514	cc3	meta-cluster
14131895	pt7	meta-cluster
15973543	pt6	meta-cluster
9721049	pt5	meta-cluster
13035638	pt4	meta-cluster
16173072	pt3	meta-cluster
12480133	pt2	meta-cluster
10932519	pt1	meta-cluster
5870564	ct4	meta-cluster
6494572	ct5	meta-cluster
6826790	ct6	meta-cluster
5865313	ct7	meta-cluster
3164626	ct1	meta-cluster
5944915	ct2	meta-cluster
4541534	ct3	meta-cluster
6978187	cc5	meta-cluster
7650846	cc4	meta-cluster
7834738	cc7	meta-cluster
14417487	pc1	meta-cluster
14561429	pc6	meta-cluster
14220461	pc7	meta-cluster
14272429	pc4	meta-cluster
14117525	pc5	meta-cluster
13350402	pc2	meta-cluster
6876567	cc2	meta-cluster
14206522	pc3	meta-cluster
